"BIOID","Account_Handle","Account_Type"
"1100101","VinceGuiller01","PTWIT"
"1100101","Guillermin0101","OTWIT_TYPE_2"
"1100102","romaindaubie","GOVTWIT"
"1100103","OlgaGivernet","GOVTWIT"
"1100201","AudeBono","GOVTWIT"
"1100202","FatiElo","PTWIT"
"1100204","MarcDelatte","GOVTWIT"
"1100205","JeanneRoussel2","PTWIT"
"1100301","MICHEL_BARBARIN","GOVTWIT"
"1100302","LaurenceVanceu","PTWIT"
"1100303","B_Peyrol","GOVTWIT"
"1100402","CCastaner","GOVTWIT"
"1100501","PascaleBoyerEM","GOVTWIT"
"1100502","JoelGiraud05","GOVTWIT"
"1100601","MonettiGraig","GOVTWIT"
"1100602","LoicDombreval","GOVTWIT"
"1100602","Depute_Animaux","PTWIT"
"1100603","p_pradal","GOVTWIT"
"1100604","A_Ardisson","GOVTWIT"
"1100605","marinebrenier","GOVTWIT"
"1100605","AvecBrenier","PTWIT"
"1100605","TeamBrenier","OTWIT_TYPE_2"
"1100606","jbmion","GOVTWIT"
"1100608","JV_Desens","PTWIT"
"1100701","SeverineGineys","GOVTWIT"
"1100702","olivierdussopt","PTWIT"
"1100703","alexandracauqu1","GOVTWIT"
"1100801","LionelVuibert","GOVTWIT"
"1100803","duterage","GOVTWIT"
"1100902","RemiDutrenois","PTWIT"
"1101001","GBessonMoreau","GOVTWIT"
"1101002","salomefontaine","PTWIT"
"1101101","Daniele_herin","GOVTWIT"
"1101102","PereaAlain","GOVTWIT"
"1101103","MRobert_11","GOVTWIT"
"1101103","Robert2Mireille","PTWIT"
"1101201","S_Mazars","GOVTWIT"
"1101202","samuel_deguara","GOVTWIT"
"1101203","Rousset33638791","GOVTWIT"
"1101203","JF_Rousset2","PTWIT"
"1101301","SabrinaRoubache","PTWIT"
"1101303","ALouisMars","GOVTWIT"
"1101303","13Lrem","PTWIT"
"1101304","najat_akodad","PTWIT"
"1101305","RaconCathy","OTWIT_TYPE_2"
"1101306","RoyerPerreaut","PTWIT"
"1101306","lionelrp2020","OTWIT_TYPE_2"
"1101307","saidahamada","GOVTWIT"
"1101309","b_masfraissinet","PTWIT"
"1101311","laqhila","GOVTWIT"
"1101313","ThierryBoissin","PTWIT"
"1101313","BoissinThierry","OTWIT_TYPE_4"
"1101315","ANZALONEMarieLo","PTWIT"
"1101316","CaillaudMariana","PTWIT"
"1101401","LeVigoureuxF","GOVTWIT"
"1101402","DPSylvieBetty","PTWIT"
"1101403","JPatrierLeitus","GOVTWIT"
"1101404","christoblanchet","GOVTWIT"
"1101404","blanchetchristo","PTWIT"
"1101405","BertrandBouyx","GOVTWIT"
"1101406","Elisabeth_Borne","GOVTWIT"
"1101501","Teyssedou","PTWIT"
"1101601","TMesnier","GOVTWIT"
"1101602","MARSAUDSandra","GOVTWIT"
"1101701","martinemad17","GOVTWIT"
"1101702","BabaultAlaure17","GOVTWIT"
"1101703","jean_ardouin","OTWIT_TYPE_1"
"1101704","RaphaelGerard17","GOVTWIT"
"1101705","cplassard","GOVTWIT"
"1101801","FCBDeputeduCher","GOVTWIT"
"1101801","franoiscormier1","PTWIT"
"1101802","NadiaEssayan","GOVTWIT"
"1101802","2017Essayan","PTWIT"
"1101802","NEssayan","OTWIT_TYPE_4"
"1101802","nadia_essayan","OTWIT2"
"1101803","LoicKervran18","GOVTWIT"
"1101803","2022Loic","PTWIT"
"1101901","cjerretie","GOVTWIT"
"1101901","chrisjerretie","PTWIT"
"1101902","NBrousse19","GOVTWIT"
"1102001","LMarcangeli","PTWIT"
"1102101","dmartindijon","GOVTWIT"
"1102102","bordatbenoit","GOVTWIT"
"1102103","fadila_khattabi","GOVTWIT"
"1102104","yodecourson","GOVTWIT"
"1102104","ydecourson","PTWIT"
"1102105","_DidierParis","GOVTWIT"
"1102202","HerveBerville","GOVTWIT"
"1102203","olivierallain_","PTWIT"
"1102203","oallain2017","OTWIT_TYPE_4"
"1102203","Olivier_Allain_","OTWIT2"
"1102204","Kerlogot22","GOVTWIT"
"1102205","ebothorel","GOVTWIT"
"1102301","moreaujb23","GOVTWIT"
"1102401","ChassaingPh","GOVTWIT"
"1102401","miastecko","PTWIT"
"1102402","DelponMichelEM","GOVTWIT"
"1102402","MichelDelpon","PTWIT"
"1102403","dep_cubertafon","GOVTWIT"
"1102501","CroizierLaurent","GOVTWIT"
"1102502","ericalauzet","GOVTWIT"
"1102503","Nicolas_Pacquot","GOVTWIT"
"1102504","Fred_Barbier","GOVTWIT"
"1102504","FrdricBarbier3","PTWIT"
"1102505","PhilippeAlpy","PTWIT"
"1102601","CLAPOTMireille","GOVTWIT"
"1102603","CdLavergne","GOVTWIT"
"1102604","OlivierGAFA","PTWIT"
